Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
82,09-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
83,09-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
84,09-03-2020,6:00 PM,Haryana,0,2,0,0,2
85,09-03-2020,6:00 PM,Delhi,4,0,0,0,4
86,10-03-2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
87,10-03-2020,6:00 PM,Ladakh,2,0,0,0,2
88,10-03-2020,6:00 PM,Delhi,4,0,0,0,4
89,10-03-2020,6:00 PM,Haryana,0,2,0,0,2
90,10-03-2020,6:00 PM,Karnataka,4,0,0,0,4
91,10-03-2020,6:00 PM,Kerala,15,0,3,0,15
92,10-03-2020,6:00 PM,Maharashtra,5,0,0,0,5
93,10-03-2020,6:00 PM,Punjab,1,0,0,0,1
94,10-03-2020,6:00 PM,Rajasthan,1,14,0,0,15
95,10-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
96,10-03-2020,6:00 PM,Telengana,1,0,0,0,1
97,10-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
98,11-03-2020,6:00 PM,Maharashtra,2,0,0,0,2
99,11-03-2020,6:00 PM,Delhi,5,0,0,0,5
100,11-03-2020,6:00 PM,Haryana,0,14,0,0,14
101,11-03-2020,6:00 PM,Kerala,17,0,3,0,17
102,11-03-2020,6:00 PM,Rajasthan,1,2,0,0,3
103,11-03-2020,6:00 PM,Telengana,1,0,0,0,1
104,11-03-2020,6:00 PM,Uttar Pradesh,9,0,0,0,9
105,11-03-2020,6:00 PM,Ladakh,2,0,0,0,2
106,11-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
107,11-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
108,11-03-2020,6:00 PM,Punjab,1,0,0,0,1
109,11-03-2020,6:00 PM,Karnataka,4,0,0,0,4
110,12-03-2020,6:00 PM,Delhi,6,0,0,0,6
111,12-03-2020,6:00 PM,Haryana,0,14,0,0,14
112,12-03-2020,6:00 PM,Kerala,17,0,3,0,17
113,12-03-2020,6:00 PM,Rajasthan,1,2,0,0,3
114,12-03-2020,6:00 PM,Telengana,1,0,0,0,1
115,12-03-2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
116,12-03-2020,6:00 PM,Ladakh,3,0,0,0,3
117,12-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
118,12-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
119,12-03-2020,6:00 PM,Punjab,1,0,0,0,1
120,12-03-2020,6:00 PM,Karnataka,4,0,0,0,4
121,12-03-2020,6:00 PM,Maharashtra,11,0,0,0,11
122,12-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
123,13-03-2020,6:00 PM,Delhi,6,0,0,0,6
124,13-03-2020,6:00 PM,Haryana,0,14,0,0,14
125,13-03-2020,6:00 PM,Kerala,19,0,3,0,19
126,13-03-2020,6:00 PM,Rajasthan,1,2,0,0,3
127,13-03-2020,6:00 PM,Telengana,1,0,0,0,1
128,13-03-2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
129,13-03-2020,6:00 PM,Ladakh,3,0,0,0,3
130,13-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
131,13-03-2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
132,13-03-2020,6:00 PM,Punjab,1,0,0,0,1
133,13-03-2020,6:00 PM,Karnataka,6,0,0,1,6
134,13-03-2020,6:00 PM,Maharashtra,14,0,0,0,14
135,13-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
136,14-03-2020,6:00 PM,Delhi,7,0,1,1,7
137,14-03-2020,6:00 PM,Haryana,0,14,0,0,14
138,14-03-2020,6:00 PM,Kerala,19,0,3,0,19
139,14-03-2020,6:00 PM,Rajasthan,1,2,1,0,3
140,14-03-2020,6:00 PM,Telengana,1,0,0,0,1
141,14-03-2020,6:00 PM,Uttar Pradesh,11,1,5,0,12
142,14-03-2020,6:00 PM,Ladakh,3,0,0,0,3
143,14-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
144,14-03-2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2
145,14-03-2020,6:00 PM,Punjab,1,0,0,0,1
146,14-03-2020,6:00 PM,Karnataka,6,0,0,1,6
147,14-03-2020,6:00 PM,Maharashtra,14,0,0,0,14
148,14-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
149,15-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
150,15-03-2020,6:00 PM,Delhi,7,0,2,1,7
151,15-03-2020,6:00 PM,Haryana,0,14,0,0,14
152,15-03-2020,6:00 PM,Karnataka,6,0,0,1,6
153,15-03-2020,6:00 PM,Kerala,22,0,3,0,22
154,15-03-2020,6:00 PM,Maharashtra,32,0,0,0,32
155,15-03-2020,6:00 PM,Punjab,1,0,0,0,1
156,15-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
157,15-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
158,15-03-2020,6:00 PM,Telengana,3,0,1,0,3
159,15-03-2020,6:00 PM,Jammu and Kashmir,2,0,0,0,2
160,15-03-2020,6:00 PM,Ladakh,3,0,0,0,3
161,15-03-2020,6:00 PM,Uttar Pradesh,12,1,4,0,13
162,15-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
163,16-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
164,16-03-2020,6:00 PM,Delhi,7,0,2,1,7
165,16-03-2020,6:00 PM,Haryana,0,14,0,0,14
166,16-03-2020,6:00 PM,Karnataka,6,0,0,1,6
167,16-03-2020,6:00 PM,Kerala,23,0,3,0,23
168,16-03-2020,6:00 PM,Maharashtra,32,0,0,0,32
169,16-03-2020,6:00 PM,Odisha,1,0,0,0,1
170,16-03-2020,6:00 PM,Punjab,1,0,0,0,1
171,16-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
172,16-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
173,16-03-2020,6:00 PM,Telengana,3,0,1,0,3
174,16-03-2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
175,16-03-2020,6:00 PM,Ladakh,4,0,0,0,4
176,16-03-2020,6:00 PM,Uttar Pradesh,12,1,4,0,13
177,16-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
178,17-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
179,17-03-2020,6:00 PM,Delhi,8,0,2,1,8
180,17-03-2020,6:00 PM,Haryana,1,14,0,0,15
181,17-03-2020,6:00 PM,Karnataka,11,0,0,1,11
182,17-03-2020,6:00 PM,Kerala,24,2,3,0,26
183,17-03-2020,6:00 PM,Maharashtra,36,3,0,1,39
184,17-03-2020,6:00 PM,Odisha,1,0,0,0,1
185,17-03-2020,6:00 PM,Punjab,1,0,0,0,1
186,17-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
187,17-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
188,17-03-2020,6:00 PM,Telengana,3,2,1,0,5
189,17-03-2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
190,17-03-2020,6:00 PM,Ladakh,6,0,0,0,6
191,17-03-2020,6:00 PM,Uttar Pradesh,14,1,5,0,15
192,17-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
193,18-03-2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
194,18-03-2020,6:00 PM,Delhi,9,1,2,1,10
195,18-03-2020,6:00 PM,Haryana,3,14,0,0,17
196,18-03-2020,6:00 PM,Karnataka,11,0,0,1,11
197,18-03-2020,6:00 PM,Kerala,25,2,3,0,27
198,18-03-2020,6:00 PM,Maharashtra,39,3,0,1,42
199,18-03-2020,6:00 PM,Odisha,1,0,0,0,1
200,18-03-2020,6:00 PM,Puducherry,1,0,0,0,1
201,18-03-2020,6:00 PM,Punjab,1,0,0,0,1
202,18-03-2020,6:00 PM,Rajasthan,2,2,3,0,4
203,18-03-2020,6:00 PM,Tamil Nadu,1,0,0,0,1
204,18-03-2020,6:00 PM,Telengana,4,2,1,0,6
205,18-03-2020,6:00 PM,Jammu and Kashmir,3,0,0,0,3
206,18-03-2020,6:00 PM,Ladakh,8,0,0,0,8
207,18-03-2020,6:00 PM,Uttar Pradesh,15,1,5,0,16
208,18-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
209,18-03-2020,6:00 PM,West Bengal,1,0,0,0,1
210,19-03-2020,6:00 PM,Andhra Pradesh,2,0,0,0,2
211,19-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
212,19-03-2020,6:00 PM,Delhi,11,1,3,1,12
213,19-03-2020,6:00 PM,Haryana,3,14,0,0,17
214,19-03-2020,6:00 PM,Karnataka,14,0,0,1,14
215,19-03-2020,6:00 PM,Kerala,25,2,3,0,27
216,19-03-2020,6:00 PM,Maharashtra,44,3,0,1,47
217,19-03-2020,6:00 PM,Odisha,1,0,0,0,1
218,19-03-2020,6:00 PM,Puducherry,1,0,0,0,1
219,19-03-2020,6:00 PM,Punjab,2,0,0,1,2
220,19-03-2020,6:00 PM,Rajasthan,5,2,3,0,7
221,19-03-2020,6:00 PM,Tamil Nadu,2,0,1,0,2
222,19-03-2020,6:00 PM,Telengana,4,2,1,0,6
223,19-03-2020,6:00 PM,Chandigarh,1,0,0,0,1
224,19-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
225,19-03-2020,6:00 PM,Ladakh,8,0,0,0,8
226,19-03-2020,6:00 PM,Uttar Pradesh,18,1,9,0,19
227,19-03-2020,6:00 PM,Uttarakhand,1,0,0,0,1
228,19-03-2020,6:00 PM,West Bengal,1,0,0,0,1
229,20-03-2020,6:00 PM,Andhra Pradesh,3,0,0,0,3
230,20-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
231,20-03-2020,6:00 PM,Delhi,16,1,5,1,17
232,20-03-2020,6:00 PM,Gujarat,5,0,0,0,5
233,20-03-2020,6:00 PM,Haryana,3,14,0,0,17
234,20-03-2020,6:00 PM,Karnataka,15,0,1,1,15
235,20-03-2020,6:00 PM,Kerala,26,2,3,0,28
236,20-03-2020,6:00 PM,Maharashtra,49,3,0,1,52
237,20-03-2020,6:00 PM,Odisha,2,0,0,0,2
238,20-03-2020,6:00 PM,Puducherry,1,0,0,0,1
239,20-03-2020,6:00 PM,Punjab,2,0,0,1,2
240,20-03-2020,6:00 PM,Rajasthan,15,2,3,0,17
241,20-03-2020,6:00 PM,Tamil Nadu,3,0,1,0,3
242,20-03-2020,6:00 PM,Telengana,8,9,1,0,17
243,20-03-2020,6:00 PM,Chandigarh,1,0,0,0,1
244,20-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
245,20-03-2020,6:00 PM,Ladakh,10,0,0,0,10
246,20-03-2020,6:00 PM,Uttar Pradesh,22,1,9,0,23
247,20-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
248,20-03-2020,6:00 PM,West Bengal,2,0,0,0,2
249,21-03-2020,6:00 PM,Andhra Pradesh,3,0,0,0,3
250,21-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
251,21-03-2020,6:00 PM,Delhi,25,1,5,1,26
252,21-03-2020,6:00 PM,Gujarat,7,0,0,0,7
253,21-03-2020,6:00 PM,Haryana,3,14,0,0,17
254,21-03-2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
255,21-03-2020,6:00 PM,Karnataka,15,0,1,1,15
256,21-03-2020,6:00 PM,Kerala,33,7,3,0,40
257,21-03-2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
258,21-03-2020,6:00 PM,Maharashtra,60,3,0,1,63
259,21-03-2020,6:00 PM,Odisha,2,0,0,0,2
260,21-03-2020,6:00 PM,Puducherry,1,0,0,0,1
261,21-03-2020,6:00 PM,Punjab,13,0,0,1,13
262,21-03-2020,6:00 PM,Rajasthan,15,2,3,0,17
263,21-03-2020,6:00 PM,Tamil Nadu,3,0,1,0,3
264,21-03-2020,6:00 PM,Telengana,10,11,1,0,21
265,21-03-2020,6:00 PM,Chandigarh,1,0,0,0,1
266,21-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
267,21-03-2020,6:00 PM,Ladakh,13,0,0,0,13
268,21-03-2020,6:00 PM,Uttar Pradesh,23,1,9,0,24
269,21-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
270,21-03-2020,6:00 PM,West Bengal,3,0,0,0,3
271,22-03-2020,6:00 PM,Andhra Pradesh,5,0,0,0,5
272,22-03-2020,6:00 PM,Bihar,2,0,0,1,2
273,22-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
274,22-03-2020,6:00 PM,Delhi,28,1,5,1,29
275,22-03-2020,6:00 PM,Gujarat,18,0,0,1,18
276,22-03-2020,6:00 PM,Haryana,7,14,0,0,21
277,22-03-2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
278,22-03-2020,6:00 PM,Karnataka,26,0,2,1,26
279,22-03-2020,6:00 PM,Kerala,45,7,3,0,52
280,22-03-2020,6:00 PM,Madhya Pradesh,4,0,0,0,4
281,22-03-2020,6:00 PM,Maharashtra,64,3,0,2,67
282,22-03-2020,6:00 PM,Odisha,2,0,0,0,2
283,22-03-2020,6:00 PM,Puducherry,1,0,0,0,1
284,22-03-2020,6:00 PM,Punjab,21,0,0,1,21
285,22-03-2020,6:00 PM,Rajasthan,22,2,3,0,24
286,22-03-2020,6:00 PM,Tamil Nadu,5,2,1,0,7
287,22-03-2020,6:00 PM,Telengana,11,11,1,0,22
288,22-03-2020,6:00 PM,Chandigarh,5,0,0,0,5
289,22-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
290,22-03-2020,6:00 PM,Ladakh,13,0,0,0,13
291,22-03-2020,6:00 PM,Uttar Pradesh,26,1,9,0,27
292,22-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
293,22-03-2020,6:00 PM,West Bengal,4,0,0,0,4
294,23-03-2020,6:00 PM,Andhra Pradesh,7,0,0,0,7
295,23-03-2020,6:00 PM,Bihar,2,0,0,1,2
296,23-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
297,23-03-2020,6:00 PM,Delhi,28,1,5,1,29
298,23-03-2020,6:00 PM,Gujarat,29,0,0,1,29
299,23-03-2020,6:00 PM,Haryana,12,14,0,0,26
300,23-03-2020,6:00 PM,Himachal Pradesh,2,0,0,0,2
301,23-03-2020,6:00 PM,Karnataka,33,0,2,1,33
302,23-03-2020,6:00 PM,Kerala,60,7,3,0,67
303,23-03-2020,6:00 PM,Madhya Pradesh,6,0,0,0,6
304,23-03-2020,6:00 PM,Maharashtra,71,3,0,2,74
305,23-03-2020,6:00 PM,Odisha,2,0,0,0,2
306,23-03-2020,6:00 PM,Puducherry,1,0,0,0,1
307,23-03-2020,6:00 PM,Punjab,21,0,0,1,21
308,23-03-2020,6:00 PM,Rajasthan,26,2,3,0,28
309,23-03-2020,6:00 PM,Tamil Nadu,7,2,1,0,9
310,23-03-2020,6:00 PM,Telengana,22,10,1,0,32
311,23-03-2020,6:00 PM,Chandigarh,6,0,0,0,6
312,23-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
313,23-03-2020,6:00 PM,Ladakh,13,0,0,0,13
314,23-03-2020,6:00 PM,Uttar Pradesh,30,1,9,0,31
315,23-03-2020,6:00 PM,Uttarakhand,3,0,0,0,3
316,23-03-2020,6:00 PM,West Bengal,7,0,0,0,7
317,24-03-2020,6:00 PM,Andhra Pradesh,8,0,0,0,8
318,24-03-2020,6:00 PM,Bihar,3,0,0,1,3
319,24-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
320,24-03-2020,6:00 PM,Delhi,29,1,6,1,30
321,24-03-2020,6:00 PM,Gujarat,32,1,0,1,33
322,24-03-2020,6:00 PM,Haryana,14,14,11,0,28
323,24-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
324,24-03-2020,6:00 PM,Karnataka,37,0,3,1,37
325,24-03-2020,6:00 PM,Kerala,87,8,4,0,95
326,24-03-2020,6:00 PM,Madhya Pradesh,7,0,0,0,7
327,24-03-2020,6:00 PM,Maharashtra,86,3,0,2,89
328,24-03-2020,6:00 PM,Manipur,1,0,0,0,1
329,24-03-2020,6:00 PM,Odisha,2,0,0,0,2
330,24-03-2020,6:00 PM,Puducherry,1,0,0,0,1
331,24-03-2020,6:00 PM,Punjab,29,0,0,1,29
332,24-03-2020,6:00 PM,Rajasthan,30,2,3,0,32
333,24-03-2020,6:00 PM,Tamil Nadu,13,2,1,0,15
334,24-03-2020,6:00 PM,Telengana,25,10,1,0,35
335,24-03-2020,6:00 PM,Chandigarh,7,0,0,0,7
336,24-03-2020,6:00 PM,Jammu and Kashmir,4,0,0,0,4
337,24-03-2020,6:00 PM,Ladakh,13,0,0,0,13
338,24-03-2020,6:00 PM,Uttar Pradesh,32,1,11,0,33
339,24-03-2020,6:00 PM,Uttarakhand,3,1,0,0,4
340,24-03-2020,6:00 PM,West Bengal,9,0,0,1,9
341,25-03-2020,6:00 PM,Andhra Pradesh,9,0,1,0,9
342,25-03-2020,6:00 PM,Bihar,4,0,0,1,4
343,25-03-2020,6:00 PM,Chhattisgarh,1,0,0,0,1
344,25-03-2020,6:00 PM,Delhi,30,1,6,1,31
345,25-03-2020,6:00 PM,Gujarat,37,1,0,1,38
346,25-03-2020,6:00 PM,Haryana,14,14,11,0,28
347,25-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
348,25-03-2020,6:00 PM,Karnataka,41,0,3,1,41
349,25-03-2020,6:00 PM,Kerala,101,8,4,0,109
350,25-03-2020,6:00 PM,Madhya Pradesh,14,0,0,0,14
351,25-03-2020,6:00 PM,Maharashtra,125,3,1,3,128
352,25-03-2020,6:00 PM,Manipur,1,0,0,0,1
353,25-03-2020,6:00 PM,Mizoram,1,0,0,0,1
354,25-03-2020,6:00 PM,Odisha,2,0,0,0,2
355,25-03-2020,6:00 PM,Puducherry,1,0,0,0,1
356,25-03-2020,6:00 PM,Punjab,29,0,0,1,29
357,25-03-2020,6:00 PM,Rajasthan,34,2,3,0,36
358,25-03-2020,6:00 PM,Tamil Nadu,16,2,1,0,18
359,25-03-2020,6:00 PM,Telengana,25,10,1,0,35
360,25-03-2020,6:00 PM,Chandigarh,7,0,0,0,7
361,25-03-2020,6:00 PM,Jammu and Kashmir,7,0,1,0,7
362,25-03-2020,6:00 PM,Ladakh,13,0,0,0,13
363,25-03-2020,6:00 PM,Uttar Pradesh,36,1,11,0,37
364,25-03-2020,6:00 PM,Uttarakhand,3,1,0,0,4
365,25-03-2020,6:00 PM,West Bengal,9,0,0,1,9
366,26-03-2020,6:00 PM,Andaman and Nicobar Islands,1,0,0,0,1
367,26-03-2020,6:00 PM,Andhra Pradesh,11,0,1,0,11
368,26-03-2020,6:00 PM,Bihar,6,0,0,1,6
369,26-03-2020,6:00 PM,Chandigarh,7,0,0,0,7
370,26-03-2020,6:00 PM,Chhattisgarh,6,0,0,0,6
371,26-03-2020,6:00 PM,Delhi,35,1,6,1,36
372,26-03-2020,6:00 PM,Goa,3,0,0,0,3
373,26-03-2020,6:00 PM,Gujarat,42,1,0,3,43
374,26-03-2020,6:00 PM,Haryana,16,14,11,0,30
375,26-03-2020,6:00 PM,Himachal Pradesh,3,0,0,1,3
376,26-03-2020,6:00 PM,Jammu and Kashmir,13,0,1,0,13
377,26-03-2020,6:00 PM,Karnataka,55,0,3,2,55
378,26-03-2020,6:00 PM,Kerala,110,8,6,0,118
379,26-03-2020,6:00 PM,Ladakh,13,0,0,0,13
380,26-03-2020,6:00 PM,Madhya Pradesh,20,0,0,1,20
381,26-03-2020,6:00 PM,Maharashtra,121,3,1,3,124
382,26-03-2020,6:00 PM,Manipur,1,0,0,0,1
383,26-03-2020,6:00 PM,Mizoram,1,0,0,0,1
384,26-03-2020,6:00 PM,Odisha,2,0,0,0,2
385,26-03-2020,6:00 PM,Puducherry,1,0,0,0,1
386,26-03-2020,6:00 PM,Punjab,33,0,0,1,33
387,26-03-2020,6:00 PM,Rajasthan,39,2,3,0,41
388,26-03-2020,6:00 PM,Tamil Nadu,20,6,1,1,26
389,26-03-2020,6:00 PM,Telengana,34,10,1,0,44
390,26-03-2020,6:00 PM,Uttarakhand,4,1,0,0,5
391,26-03-2020,6:00 PM,Uttar Pradesh,40,1,11,0,41
392,26-03-2020,6:00 PM,West Bengal,10,0,0,1,10
393,27-03-2020,10:00 AM,Andaman and Nicobar Islands,1,0,0,0,1
394,27-03-2020,10:00 AM,Andhra Pradesh,12,0,1,0,12
395,27-03-2020,10:00 AM,Bihar,6,0,0,1,6
396,27-03-2020,10:00 AM,Chandigarh,7,0,0,0,7
397,27-03-2020,10:00 AM,Chhattisgarh,6,0,0,0,6
398,27-03-2020,10:00 AM,Delhi,35,1,6,1,36
399,27-03-2020,10:00 AM,Goa,3,0,0,0,3
400,27-03-2020,10:00 AM,Gujarat,42,1,0,3,43
401,27-03-2020,10:00 AM,Haryana,16,14,11,0,30
402,27-03-2020,10:00 AM,Himachal Pradesh,3,0,0,1,3
403,27-03-2020,10:00 AM,Jammu and Kashmir,13,0,1,1,13
404,27-03-2020,10:00 AM,Karnataka,55,0,3,2,55
405,27-03-2020,10:00 AM,Kerala,129,8,11,0,137
406,27-03-2020,10:00 AM,Ladakh,13,0,3,0,13
407,27-03-2020,10:00 AM,Madhya Pradesh,20,0,0,1,20
408,27-03-2020,10:00 AM,Maharashtra,127,3,15,4,130
409,27-03-2020,10:00 AM,Manipur,1,0,0,0,1
410,27-03-2020,10:00 AM,Mizoram,1,0,0,0,1
411,27-03-2020,10:00 AM,Odisha,2,0,0,0,2
412,27-03-2020,10:00 AM,Puducherry,1,0,0,0,1
413,27-03-2020,10:00 AM,Punjab,33,0,0,1,33
414,27-03-2020,10:00 AM,Rajasthan,39,2,3,0,41
415,27-03-2020,10:00 AM,Tamil Nadu,23,6,1,1,29
416,27-03-2020,10:00 AM,Telengana,35,10,1,0,45
417,27-03-2020,10:00 AM,Uttarakhand,4,1,0,0,5
418,27-03-2020,10:00 AM,Uttar Pradesh,40,1,11,0,41
419,27-03-2020,10:00 AM,West Bengal,10,0,0,1,10
420,28-03-2020,6:00 PM,Andhra Pradesh,14,0,1,0,14
421,28-03-2020,6:00 PM,Andaman and Nicobar Islands,6,0,0,0,6
422,28-03-2020,6:00 PM,Bihar,9,0,0,1,9
423,28-03-2020,6:00 PM,Chandigarh,8,0,0,0,8
