Updated On,State,Total Individuals Registered,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,Total Individuals Vaccinated,Total Doses Administered
13/02/2021,India,14777965.0,216559.0,41308.0,7687352.0,20859.0,3684053.0,4002279.0,1020.0,781304.0,6906048.0,7687352.0,7708211
14/02/2021,India,14895253.0,223423.0,41606.0,7710367.0,21911.0,3699535.0,4009812.0,1020.0,786042.0,6924325.0,7710367.0,7732278
15/02/2021,India,15517338.0,233527.0,42016.0,8111162.0,142489.0,3925723.0,4184377.0,1062.0,825093.0,7286069.0,8111162.0,8253651
16/02/2021,India,16152472.0,245131.0,42859.0,8337600.0,239626.0,4044967.0,4291548.0,1085.0,841412.0,7496188.0,8337600.0,8577226
17/02/2021,India,16867476.0,256706.0,43310.0,8704698.0,318541.0,4271486.0,4432078.0,1134.0,894555.0,7810143.0,8704698.0,9023239
18/02/2021,India,16357801.0,268275.0,43734.0,8862491.0,475776.0,4509554.0,4351815.0,1122.0,962251.0,7900240.0,8862491.0,9338267
19/02/2021,India,17807727.0,279055.0,44167.0,9523567.0,717941.0,4820055.0,4702310.0,1202.0,1003518.0,8520049.0,9523567.0,10241508
20/02/2021,India,18021113.0,288334.0,44791.0,9734505.0,884608.0,4966750.0,4766532.0,1223.0,1033170.0,8701335.0,9734505.0,10619113
21/02/2021,India,18179792.0,299726.0,45120.0,9757217.0,893795.0,4982068.0,4773924.0,1225.0,1037565.0,8719652.0,9757217.0,10651012
22/02/2021,India,18342215.0,312382.0,45490.0,10069263.0,1174416.0,5226538.0,4841511.0,1214.0,1085940.0,8983323.0,10069263.0,11243679
23/02/2021,India,18402147.0,325527.0,46054.0,10288293.0,1309475.0,5389434.0,4897627.0,1232.0,1120345.0,9167948.0,10288293.0,11597768
24/02/2021,India,18459495.0,339617.0,46671.0,10517568.0,1525390.0,5558978.0,4957351.0,1239.0,1156820.0,9360748.0,10517568.0,12042958
25/02/2021,India,18523988.0,352882.0,47068.0,10846192.0,1972882.0,5799474.0,5045426.0,1292.0,1204424.0,9641768.0,10846192.0,12819074
26/02/2021,India,17915124.0,357440.0,47240.0,11141375.0,2419557.0,6008758.0,5131299.0,1318.0,1244235.0,9897140.0,11141375.0,13560932
27/02/2021,India,17916598.0,357450.0,47242.0,11141426.0,2419557.0,6008785.0,5131323.0,1318.0,1244235.0,9897191.0,11141426.0,13560983
28/02/2021,India,17917681.0,367595.0,48032.0,11141651.0,2419557.0,6008960.0,5131373.0,1318.0,1244273.0,9897378.0,11141651.0,13561208
01/03/2021,India,17917688.0,401961.0,50243.0,11141651.0,2419557.0,6008960.0,5131373.0,1318.0,1244273.0,9897378.0,11141651.0,13561208
02/03/2021,India,18560310.0,448977.0,51350.0,11886320.0,2647634.0,6462436.0,5422470.0,1414.0,1277711.0,10608609.0,11886320.0,14533954
03/03/2021,India,19150389.0,533253.0,54700.0,12553326.0,2830557.0,6859318.0,5692550.0,1458.0,1307164.0,11246162.0,12553326.0,15383883
04/03/2021,India,19931471.0,613748.0,57418.0,13393538.0,3142165.0,7346850.0,6045211.0,1477.0,1345443.0,12048095.0,13393538.0,16535703
05/03/2021,India,20921920.0,714806.0,59064.0,14415912.0,3455761.0,7924084.0,6490255.0,1573.0,1386898.0,13029014.0,14415912.0,17871673
06/03/2021,India,21888014.0,802800.0,60930.0,15438495.0,3732333.0,8488627.0,6948195.0,1673.0,1434272.0,14004223.0,15438495.0,19170828
07/03/2021,India,21983612.0,862720.0,63187.0,15541529.0,3747137.0,8545982.0,6993867.0,1680.0,1440857.0,14100672.0,15541529.0,19288666
08/03/2021,India,23420779.0,923939.0,64854.0,16976138.0,4062362.0,9298005.0,7676312.0,1821.0,1495593.0,15480545.0,16976138.0,21038500
09/03/2021,India,24428427.0,1017231.0,66317.0,17984381.0,4372951.0,9850241.0,8132238.0,1902.0,1557829.0,16426552.0,17984381.0,22357332
10/03/2021,India,25362949.0,1149363.0,68620.0,18944399.0,4687288.0,10373816.0,8568586.0,1997.0,1611479.0,17332920.0,18944399.0,23631687
11/03/2021,India,25600158.0,1208555.0,70188.0,19213642.0,4749703.0,10520212.0,8691411.0,2019.0,1628133.0,17585509.0,19213642.0,23963345
12/03/2021,India,27120195.0,1294146.0,71977.0,20727869.0,5160291.0,11353590.0,9372137.0,2142.0,1710492.0,19017377.0,20727869.0,25888160
13/03/2021,India,28268880.0,1349982.0,73441.0,21883802.0,5461389.0,11967845.0,9913759.0,2198.0,1762881.0,20120921.0,21883802.0,27345191
14/03/2021,India,28407468.0,1400793.0,75269.0,22029912.0,5480732.0,12043761.0,9983943.0,2208.0,1769009.0,20260903.0,22029912.0,27510644
15/03/2021,India,30481066.0,1480573.0,77238.0,24049536.0,5852411.0,13115456.0,10931670.0,2410.0,1887348.0,22162188.0,24049536.0,29901947
16/03/2021,India,32090765.0,1551534.0,79098.0,25684134.0,6161333.0,13979444.0,11702117.0,2573.0,2009264.0,23674870.0,25684134.0,31845467
17/03/2021,India,33710122.0,1612319.0,81808.0,27299603.0,6484692.0,14825466.0,12471427.0,2710.0,2118298.0,25181305.0,27299603.0,33784295
18/03/2021,India,35521998.0,1671073.0,85645.0,29093763.0,6829737.0,15794523.0,13296354.0,2886.0,2270721.0,26823042.0,29093763.0,35923500
19/03/2021,India,37651803.0,1748598.0,90343.0,31109369.0,7080818.0,16839488.0,14266785.0,3096.0,2423450.0,28685919.0,31109369.0,38190187
20/03/2021,India,39786871.0,1823541.0,93171.0,33244339.0,7308863.0,17930376.0,15310682.0,3281.0,2640329.0,30604010.0,33244339.0,40553202
21/03/2021,India,40408645.0,1887451.0,95661.0,33954019.0,7341897.0,18282253.0,15668395.0,3371.0,2726019.0,31228000.0,33954019.0,41295916
22/03/2021,India,42766076.0,1959895.0,98704.0,36082737.0,7592002.0,19380549.0,16698587.0,3601.0,2977493.0,33105244.0,36082737.0,43674739
23/03/2021,India,44958723.0,2018346.0,101134.0,38442719.0,7824187.0,20578314.0,17860594.0,3811.0,3304795.0,35137924.0,38442719.0,46266906
24/03/2021,India,46952251.0,2076874.0,103187.0,40414580.0,7965930.0,21581261.0,18829307.0,4012.0,3599196.0,36815384.0,40414580.0,48380510
25/03/2021,India,48965377.0,2150505.0,105650.0,42415793.0,8134379.0,22618412.0,19793110.0,4271.0,3855726.0,38560067.0,42415793.0,50550172
26/03/2021,India,51164359.0,2211254.0,107311.0,44551939.0,8271738.0,23704536.0,20842900.0,4503.0,4111710.0,40440229.0,44551939.0,52823677
27/03/2021,India,53103210.0,2261887.0,108347.0,46506675.0,8370005.0,24687983.0,21813991.0,4701.0,4293429.0,42213246.0,46506675.0,54876680
28/03/2021,India,53387713.0,2300682.0,108992.0,46803472.0,8377403.0,24839264.0,21959477.0,4731.0,4310791.0,42492681.0,46803472.0,55180875
29/03/2021,India,53910256.0,2344458.0,109754.0,47318251.0,8408267.0,25091064.0,22222402.0,4785.0,4376512.0,42941739.0,47318251.0,55726518
30/03/2021,India,55430088.0,2433579.0,112112.0,48810624.0,8553238.0,25839520.0,22966152.0,4952.0,4489546.0,44321078.0,48810624.0,57363862
31/03/2021,India,57097935.0,2550671.0,115798.0,50448857.0,8727510.0,26670710.0,23772999.0,5148.0,4614874.0,45833983.0,50448857.0,59176367
01/04/2021,India,59583984.0,2673997.0,119512.0,52637731.0,8898263.0,27806633.0,24825748.0,5350.0,4771380.0,47866351.0,52637731.0,61535994
02/04/2021,India,62638870.0,2803969.0,122375.0,55674249.0,9105418.0,29374352.0,26294224.0,5673.0,4964032.0,50710217.0,55674249.0,64779667
03/04/2021,India,65428610.0,2922034.0,124323.0,58219233.0,9300230.0,30690586.0,27522710.0,5937.0,5127633.0,53091600.0,58219233.0,67519463
04/04/2021,India,66838504.0,6779834.0,43542.0,66838504.0,9567193.0,35165269.0,31665721.0,7514.0,6880699.0,69524997.0,66838504.0,76405697
05/04/2021,India,69620234.0,9947093.0,64960.0,69620234.0,9819655.0,36559511.0,33052869.0,7854.0,7162657.0,72277231.0,69620234.0,79439889
06/04/2021,India,72035640.0,9341151.0,61096.0,72035640.0,10029697.0,37772299.0,34255180.0,8161.0,7419434.0,74645902.0,72035640.0,82065337
07/04/2021,India,76671812.0,8870978.0,58826.0,76671812.0,10428815.0,40110598.0,36552499.0,8715.0,7832533.0,79268093.0,76671812.0,87100627
08/04/2021,India,80998099.0,9913258.0,65506.0,80998099.0,10883431.0,42273620.0,38715200.0,9279.0,8167587.0,83713942.0,80998099.0,91881530
09/04/2021,India,84296847.0,9969009.0,65714.0,84296847.0,11286572.0,43929844.0,40357259.0,9744.0,8425992.0,87157426.0,84296847.0,95583419
10/04/2021,India,87411872.0,8710763.0,58594.0,87411872.0,11657482.0,45508111.0,41893575.0,10186.0,8678151.0,90391202.0,87411872.0,99069354
11/04/2021,India,90111528.0,9729980.0,63648.0,90111528.0,11888873.0,46895781.0,43205152.0,10595.0,8865852.0,93134548.0,90111528.0,102000401
12/04/2021,India,93559587.0,10664088.0,71554.0,93559587.0,12410952.0,48669828.0,44878560.0,11199.0,9117558.0,96852980.0,93559587.0,105970539
13/04/2021,India,95823614.0,10046908.0,67834.0,95823614.0,12774675.0,49885738.0,45926378.0,11498.0,9279181.0,99319107.0,95823614.0,108598289
14/04/2021,India,98703696.0,10786962.0,69832.0,98703696.0,13209592.0,51361929.0,47329847.0,11920.0,9632303.0,102280984.0,98703696.0,111913288
15/04/2021,India,100853671.0,9771019.0,66284.0,100853671.0,13744355.0,52488916.0,48352489.0,12266.0,9850203.0,104747822.0,100853671.0,114598026
16/04/2021,India,102927296.0,9780485.0,66381.0,102927296.0,14378048.0,53575244.0,49339504.0,12548.0,10178643.0,107126700.0,102927296.0,117305344
17/04/2021,India,104950409.0,8521217.0,60057.0,104950409.0,15020960.0,54647827.0,50289664.0,12918.0,10555424.0,109415944.0,104950409.0,119971369
18/04/2021,India,105896430.0,8395934.0,58212.0,105896430.0,15310668.0,55151208.0,50732172.0,13050.0,10711610.0,110495487.0,105896430.0,121207098
19/04/2021,India,108178574.0,10632658.0,73506.0,108178574.0,16278588.0,56358692.0,51806475.0,13407.0,11106751.0,113350410.0,108178574.0,124457162
20/04/2021,India,110165234.0,10163007.0,71051.0,110165234.0,17263653.0,57420010.0,52731510.0,13714.0,11515707.0,115913179.0,110165234.0,127428887
21/04/2021,India,111673361.0,9537781.0,67123.0,111673361.0,17972744.0,58217380.0,53441979.0,14002.0,11799916.0,117846188.0,111673361.0,129646105
16/01/2021,Andaman and Nicobar Islands,6028.0,2.0,2.0,23.0,0.0,12.0,11.0,0.0,0.0,23.0,23.0,23
17/01/2021,Andaman and Nicobar Islands,6028.0,2.0,2.0,23.0,0.0,12.0,11.0,0.0,0.0,23.0,23.0,23
18/01/2021,Andaman and Nicobar Islands,5719.0,9.0,2.0,42.0,0.0,29.0,13.0,0.0,0.0,42.0,42.0,42
19/01/2021,Andaman and Nicobar Islands,6731.0,12.0,2.0,89.0,0.0,53.0,36.0,0.0,0.0,89.0,89.0,89
20/01/2021,Andaman and Nicobar Islands,6870.0,16.0,3.0,124.0,0.0,67.0,57.0,0.0,0.0,124.0,124.0,124
21/01/2021,Andaman and Nicobar Islands,8550.0,22.0,6.0,239.0,0.0,110.0,129.0,0.0,0.0,239.0,239.0,239
22/01/2021,Andaman and Nicobar Islands,9697.0,29.0,6.0,552.0,0.0,231.0,321.0,0.0,0.0,552.0,552.0,552
23/01/2021,Andaman and Nicobar Islands,10694.0,32.0,9.0,920.0,0.0,342.0,578.0,0.0,0.0,920.0,920.0,920
24/01/2021,Andaman and Nicobar Islands,12398.0,38.0,9.0,966.0,0.0,357.0,609.0,0.0,0.0,966.0,966.0,966
25/01/2021,Andaman and Nicobar Islands,13051.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,1519.0,1519
26/01/2021,Andaman and Nicobar Islands,13051.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,1519.0,1519
27/01/2021,Andaman and Nicobar Islands,13051.0,43.0,10.0,1519.0,0.0,447.0,1072.0,0.0,0.0,1519.0,1519.0,1519
28/01/2021,Andaman and Nicobar Islands,13454.0,48.0,10.0,1956.0,0.0,563.0,1393.0,0.0,0.0,1956.0,1956.0,1956
29/01/2021,Andaman and Nicobar Islands,13564.0,50.0,10.0,2024.0,0.0,588.0,1436.0,0.0,0.0,2024.0,2024.0,2024
30/01/2021,Andaman and Nicobar Islands,13609.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,2060.0,2060
31/01/2021,Andaman and Nicobar Islands,13609.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,2060.0,2060
01/02/2021,Andaman and Nicobar Islands,13609.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,2060.0,2060
02/02/2021,Andaman and Nicobar Islands,13609.0,51.0,10.0,2060.0,0.0,591.0,1469.0,0.0,0.0,2060.0,2060.0,2060
03/02/2021,Andaman and Nicobar Islands,13820.0,56.0,12.0,2107.0,0.0,601.0,1506.0,0.0,0.0,2107.0,2107.0,2107
04/02/2021,Andaman and Nicobar Islands,13990.0,57.0,13.0,2290.0,0.0,659.0,1631.0,0.0,0.0,2290.0,2290.0,2290
05/02/2021,Andaman and Nicobar Islands,14151.0,63.0,13.0,2514.0,0.0,705.0,1809.0,0.0,0.0,2514.0,2514.0,2514
06/02/2021,Andaman and Nicobar Islands,14367.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,2780.0,2780
07/02/2021,Andaman and Nicobar Islands,14367.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,2780.0,2780
08/02/2021,Andaman and Nicobar Islands,14367.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,2780.0,2780
09/02/2021,Andaman and Nicobar Islands,14367.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,2780.0,2780
10/02/2021,Andaman and Nicobar Islands,14367.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,2780.0,2780
11/02/2021,Andaman and Nicobar Islands,14367.0,65.0,13.0,2780.0,0.0,745.0,2035.0,0.0,0.0,2780.0,2780.0,2780
12/02/2021,Andaman and Nicobar Islands,14549.0,74.0,14.0,2852.0,0.0,773.0,2079.0,0.0,0.0,2852.0,2852.0,2852
13/02/2021,Andaman and Nicobar Islands,14618.0,74.0,14.0,3040.0,0.0,938.0,2102.0,0.0,0.0,3040.0,3040.0,3040
14/02/2021,Andaman and Nicobar Islands,14618.0,78.0,14.0,3040.0,0.0,938.0,2102.0,0.0,0.0,3040.0,3040.0,3040
15/02/2021,Andaman and Nicobar Islands,14685.0,78.0,14.0,3363.0,104.0,1176.0,2187.0,0.0,0.0,3363.0,3363.0,3467
16/02/2021,Andaman and Nicobar Islands,14704.0,81.0,14.0,3363.0,104.0,1176.0,2187.0,0.0,0.0,3363.0,3363.0,3467
17/02/2021,Andaman and Nicobar Islands,14941.0,86.0,14.0,3560.0,104.0,1343.0,2217.0,0.0,0.0,3560.0,3560.0,3664
18/02/2021,Andaman and Nicobar Islands,14619.0,95.0,14.0,3505.0,341.0,1455.0,2050.0,0.0,0.0,3505.0,3505.0,3846
19/02/2021,Andaman and Nicobar Islands,15059.0,101.0,14.0,4246.0,652.0,1805.0,2441.0,0.0,0.0,4246.0,4246.0,4898
20/02/2021,Andaman and Nicobar Islands,15059.0,102.0,14.0,4707.0,946.0,2221.0,2486.0,0.0,0.0,4707.0,4707.0,5653
21/02/2021,Andaman and Nicobar Islands,15059.0,102.0,14.0,4707.0,946.0,2221.0,2486.0,0.0,0.0,4707.0,4707.0,5653
22/02/2021,Andaman and Nicobar Islands,15059.0,118.0,14.0,5358.0,1498.0,2773.0,2585.0,0.0,0.0,5358.0,5358.0,6856
23/02/2021,Andaman and Nicobar Islands,15059.0,122.0,14.0,5436.0,1622.0,2831.0,2605.0,0.0,0.0,5436.0,5436.0,7058
24/02/2021,Andaman and Nicobar Islands,15059.0,128.0,14.0,5518.0,1722.0,2896.0,2622.0,0.0,0.0,5518.0,5518.0,7240
25/02/2021,Andaman and Nicobar Islands,15059.0,134.0,15.0,5867.0,1896.0,3103.0,2764.0,0.0,0.0,5867.0,5867.0,7763
26/02/2021,Andaman and Nicobar Islands,15059.0,135.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,6029.0,7989
27/02/2021,Andaman and Nicobar Islands,15059.0,135.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,6029.0,7989
28/02/2021,Andaman and Nicobar Islands,15059.0,135.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,6029.0,7989
01/03/2021,Andaman and Nicobar Islands,15059.0,149.0,15.0,6029.0,1960.0,3205.0,2824.0,0.0,0.0,6029.0,6029.0,7989
02/03/2021,Andaman and Nicobar Islands,15334.0,161.0,15.0,6638.0,2086.0,3630.0,3008.0,0.0,0.0,6638.0,6638.0,8724
03/03/2021,Andaman and Nicobar Islands,15353.0,172.0,16.0,6749.0,2088.0,3721.0,3028.0,0.0,0.0,6749.0,6749.0,8837
04/03/2021,Andaman and Nicobar Islands,15508.0,182.0,16.0,7266.0,2095.0,4133.0,3133.0,0.0,0.0,7266.0,7266.0,9361
05/03/2021,Andaman and Nicobar Islands,15640.0,198.0,16.0,7799.0,2098.0,4559.0,3240.0,0.0,0.0,7799.0,7799.0,9897
06/03/2021,Andaman and Nicobar Islands,15869.0,224.0,16.0,8288.0,2210.0,4915.0,3373.0,0.0,0.0,8288.0,8288.0,10498
07/03/2021,Andaman and Nicobar Islands,16666.0,227.0,16.0,8848.0,2253.0,5251.0,3597.0,0.0,0.0,8848.0,8848.0,11101
08/03/2021,Andaman and Nicobar Islands,16968.0,261.0,16.0,9629.0,2375.0,5872.0,3757.0,0.0,0.0,9629.0,9629.0,12004
09/03/2021,Andaman and Nicobar Islands,17172.0,264.0,16.0,9916.0,2391.0,6061.0,3855.0,0.0,0.0,9916.0,9916.0,12307
10/03/2021,Andaman and Nicobar Islands,17363.0,270.0,16.0,10139.0,2427.0,6201.0,3938.0,0.0,0.0,10139.0,10139.0,12566
11/03/2021,Andaman and Nicobar Islands,17687.0,288.0,16.0,10652.0,2486.0,6567.0,4085.0,0.0,0.0,10652.0,10652.0,13138
12/03/2021,Andaman and Nicobar Islands,17995.0,295.0,16.0,11200.0,2586.0,6938.0,4262.0,0.0,0.0,11200.0,11200.0,13786
13/03/2021,Andaman and Nicobar Islands,18172.0,298.0,16.0,11393.0,2740.0,7051.0,4342.0,0.0,0.0,11393.0,11393.0,14133
14/03/2021,Andaman and Nicobar Islands,18226.0,308.0,16.0,11449.0,2768.0,7081.0,4368.0,0.0,0.0,11449.0,11449.0,14217
15/03/2021,Andaman and Nicobar Islands,18510.0,313.0,16.0,11744.0,2844.0,7234.0,4510.0,0.0,0.0,11744.0,11744.0,14588
16/03/2021,Andaman and Nicobar Islands,18807.0,338.0,16.0,12051.0,2878.0,7415.0,4636.0,0.0,1.0,12050.0,12051.0,14929
17/03/2021,Andaman and Nicobar Islands,18891.0,340.0,16.0,12142.0,2983.0,7472.0,4670.0,0.0,1.0,12141.0,12142.0,15125
18/03/2021,Andaman and Nicobar Islands,19202.0,357.0,17.0,12482.0,3192.0,7662.0,4820.0,0.0,1.0,12481.0,12482.0,15674
19/03/2021,Andaman and Nicobar Islands,19517.0,434.0,22.0,12801.0,3331.0,7834.0,4967.0,0.0,1.0,12800.0,12801.0,16132
20/03/2021,Andaman and Nicobar Islands,19918.0,535.0,28.0,13249.0,3611.0,8066.0,5183.0,0.0,1.0,13248.0,13249.0,16860
21/03/2021,Andaman and Nicobar Islands,19930.0,629.0,30.0,13262.0,3622.0,8073.0,5189.0,0.0,1.0,13261.0,13262.0,16884
22/03/2021,Andaman and Nicobar Islands,20280.0,669.0,31.0,13633.0,3773.0,8275.0,5358.0,0.0,1.0,13632.0,13633.0,17406
23/03/2021,Andaman and Nicobar Islands,20813.0,684.0,31.0,14213.0,4117.0,8571.0,5642.0,0.0,1.0,14212.0,14213.0,18330
24/03/2021,Andaman and Nicobar Islands,20966.0,691.0,32.0,14377.0,4460.0,8649.0,5728.0,0.0,1.0,14376.0,14377.0,18837
25/03/2021,Andaman and Nicobar Islands,21264.0,696.0,32.0,14677.0,4680.0,8793.0,5884.0,0.0,1.0,14676.0,14677.0,19357
26/03/2021,Andaman and Nicobar Islands,21468.0,713.0,32.0,14905.0,4871.0,8924.0,5981.0,0.0,1.0,14904.0,14905.0,19776
27/03/2021,Andaman and Nicobar Islands,21759.0,716.0,32.0,15205.0,5080.0,9084.0,6121.0,0.0,1.0,15204.0,15205.0,20285
28/03/2021,Andaman and Nicobar Islands,21759.0,718.0,32.0,15206.0,5081.0,9085.0,6121.0,0.0,1.0,15205.0,15206.0,20287
29/03/2021,Andaman and Nicobar Islands,21759.0,718.0,32.0,15206.0,5082.0,9085.0,6121.0,0.0,1.0,15205.0,15206.0,20288
30/03/2021,Andaman and Nicobar Islands,22043.0,748.0,32.0,15503.0,5155.0,9252.0,6251.0,0.0,1.0,15502.0,15503.0,20658
31/03/2021,Andaman and Nicobar Islands,22106.0,854.0,32.0,15547.0,5157.0,9272.0,6275.0,0.0,1.0,15546.0,15547.0,20704
01/04/2021,Andaman and Nicobar Islands,22507.0,881.0,32.0,16017.0,5194.0,9549.0,6468.0,0.0,1.0,16016.0,16017.0,21211
02/04/2021,Andaman and Nicobar Islands,22581.0,895.0,32.0,16104.0,5198.0,9591.0,6513.0,0.0,1.0,16103.0,16104.0,21302
03/04/2021,Andaman and Nicobar Islands,23037.0,932.0,32.0,16470.0,5242.0,9779.0,6691.0,0.0,1.0,16469.0,16470.0,21712
04/04/2021,Andaman and Nicobar Islands,18677.0,1200.0,12.0,18677.0,5224.0,10996.0,7681.0,0.0,0.0,23901.0,18677.0,23901
05/04/2021,Andaman and Nicobar Islands,19499.0,1800.0,18.0,19499.0,5275.0,11437.0,8062.0,0.0,0.0,24774.0,19499.0,24774
06/04/2021,Andaman and Nicobar Islands,20445.0,2300.0,23.0,20445.0,5321.0,11897.0,8548.0,0.0,0.0,25766.0,20445.0,25766
07/04/2021,Andaman and Nicobar Islands,22631.0,2400.0,23.0,22631.0,5347.0,12986.0,9645.0,0.0,0.0,27978.0,22631.0,27978
08/04/2021,Andaman and Nicobar Islands,25363.0,2800.0,28.0,25363.0,5403.0,14405.0,10957.0,1.0,0.0,30766.0,25363.0,30766
09/04/2021,Andaman and Nicobar Islands,27698.0,2800.0,28.0,27698.0,5519.0,15582.0,12115.0,1.0,0.0,33217.0,27698.0,33217
10/04/2021,Andaman and Nicobar Islands,29863.0,3000.0,29.0,29863.0,5570.0,16690.0,13172.0,1.0,0.0,35433.0,29863.0,35433
11/04/2021,Andaman and Nicobar Islands,32012.0,2800.0,28.0,32012.0,5612.0,17866.0,14145.0,1.0,0.0,37624.0,32012.0,37624
12/04/2021,Andaman and Nicobar Islands,36572.0,3400.0,33.0,36572.0,5713.0,20175.0,16392.0,5.0,0.0,42285.0,36572.0,42285
13/04/2021,Andaman and Nicobar Islands,43013.0,3400.0,32.0,43013.0,5832.0,23433.0,19575.0,5.0,0.0,48845.0,43013.0,48845
